emotion,image_path
anger,all_test\anger\test_test_1061_aligned.jpg
anger,all_test\anger\test_test_1109_aligned.jpg
anger,all_test\anger\test_test_1115_aligned.jpg
anger,all_test\anger\test_test_1127_aligned.jpg
anger,all_test\anger\test_test_1132_aligned.jpg
anger,all_test\anger\test_test_1178_aligned.jpg
anger,all_test\anger\test_test_1190_aligned.jpg
anger,all_test\anger\test_test_1192_aligned.jpg
anger,all_test\anger\test_test_1200_aligned.jpg
anger,all_test\anger\test_test_1217_aligned.jpg
anger,all_test\anger\test_test_1234_aligned.jpg
anger,all_test\anger\test_test_1263_aligned.jpg
anger,all_test\anger\test_test_1281_aligned.jpg
anger,all_test\anger\test_test_1289_aligned.jpg
anger,all_test\anger\test_test_1294_aligned.jpg
anger,all_test\anger\test_test_1301_aligned.jpg
anger,all_test\anger\test_test_1305_aligned.jpg
anger,all_test\anger\test_test_1309_aligned.jpg
anger,all_test\anger\test_test_1314_aligned.jpg
anger,all_test\anger\test_test_1330_aligned.jpg
anger,all_test\anger\test_test_1336_aligned.jpg
anger,all_test\anger\test_test_1371_aligned.jpg
anger,all_test\anger\test_test_1373_aligned.jpg
anger,all_test\anger\test_test_1385_aligned.jpg
anger,all_test\anger\test_test_1391_aligned.jpg
anger,all_test\anger\test_test_1404_aligned.jpg
anger,all_test\anger\test_test_1413_aligned.jpg
anger,all_test\anger\test_test_1420_aligned.jpg
anger,all_test\anger\test_test_1427_aligned.jpg
anger,all_test\anger\test_test_1437_aligned.jpg
anger,all_test\anger\test_test_1445_aligned.jpg
anger,all_test\anger\test_test_1462_aligned.jpg
anger,all_test\anger\test_test_1471_aligned.jpg
anger,all_test\anger\test_test_1487_aligned.jpg
anger,all_test\anger\test_test_1496_aligned.jpg
anger,all_test\anger\test_test_1513_aligned.jpg
anger,all_test\anger\test_test_1534_aligned.jpg
anger,all_test\anger\test_test_1539_aligned.jpg
anger,all_test\anger\test_test_1553_aligned.jpg
anger,all_test\anger\test_test_1568_aligned.jpg
anger,all_test\anger\test_test_1572_aligned.jpg
anger,all_test\anger\test_test_1585_aligned.jpg
anger,all_test\anger\test_test_1601_aligned.jpg
anger,all_test\anger\test_test_1602_aligned.jpg
anger,all_test\anger\test_test_1620_aligned.jpg
anger,all_test\anger\test_test_1623_aligned.jpg
anger,all_test\anger\test_test_1625_aligned.jpg
anger,all_test\anger\test_test_1626_aligned.jpg
anger,all_test\anger\test_test_1643_aligned.jpg
anger,all_test\anger\test_test_1649_aligned.jpg
anger,all_test\anger\test_test_1650_aligned.jpg
anger,all_test\anger\test_test_1669_aligned.jpg
anger,all_test\anger\test_test_1681_aligned.jpg
anger,all_test\anger\test_test_1683_aligned.jpg
anger,all_test\anger\test_test_1684_aligned.jpg
anger,all_test\anger\test_test_1685_aligned.jpg
anger,all_test\anger\test_test_1689_aligned.jpg
anger,all_test\anger\test_test_1691_aligned.jpg
anger,all_test\anger\test_test_1739_aligned.jpg
anger,all_test\anger\test_test_1741_aligned.jpg
anger,all_test\anger\test_test_1746_aligned.jpg
anger,all_test\anger\test_test_1751_aligned.jpg
anger,all_test\anger\test_test_1756_aligned.jpg
anger,all_test\anger\test_test_1760_aligned.jpg
anger,all_test\anger\test_test_1768_aligned.jpg
anger,all_test\anger\test_test_1782_aligned.jpg
anger,all_test\anger\test_test_1783_aligned.jpg
anger,all_test\anger\test_test_1785_aligned.jpg
anger,all_test\anger\test_test_1791_aligned.jpg
anger,all_test\anger\test_test_1801_aligned.jpg
anger,all_test\anger\test_test_1803_aligned.jpg
anger,all_test\anger\test_test_1805_aligned.jpg
anger,all_test\anger\test_test_1815_aligned.jpg
anger,all_test\anger\test_test_1828_aligned.jpg
anger,all_test\anger\test_test_1830_aligned.jpg
anger,all_test\anger\test_test_1836_aligned.jpg
anger,all_test\anger\test_test_1838_aligned.jpg
anger,all_test\anger\test_test_1839_aligned.jpg
anger,all_test\anger\test_test_1858_aligned.jpg
anger,all_test\anger\test_test_1863_aligned.jpg
anger,all_test\anger\test_test_1867_aligned.jpg
anger,all_test\anger\test_test_1868_aligned.jpg
anger,all_test\anger\test_test_1879_aligned.jpg
anger,all_test\anger\test_test_1880_aligned.jpg
anger,all_test\anger\test_test_1886_aligned.jpg
anger,all_test\anger\test_test_1901_aligned.jpg
anger,all_test\anger\test_test_1911_aligned.jpg
anger,all_test\anger\test_test_1914_aligned.jpg
anger,all_test\anger\test_test_1939_aligned.jpg
anger,all_test\anger\test_test_1944_aligned.jpg
anger,all_test\anger\test_test_1946_aligned.jpg
anger,all_test\anger\test_test_1948_aligned.jpg
anger,all_test\anger\test_test_1957_aligned.jpg
anger,all_test\anger\test_test_1964_aligned.jpg
anger,all_test\anger\test_test_1976_aligned.jpg
anger,all_test\anger\test_test_1997_aligned.jpg
anger,all_test\anger\test_test_2000_aligned.jpg
anger,all_test\anger\test_test_2016_aligned.jpg
anger,all_test\anger\test_test_2024_aligned.jpg
anger,all_test\anger\test_test_2056_aligned.jpg
anger,all_test\anger\test_test_2057_aligned.jpg
anger,all_test\anger\test_test_2058_aligned.jpg
anger,all_test\anger\test_test_2062_aligned.jpg
anger,all_test\anger\test_test_2073_aligned.jpg
anger,all_test\anger\test_test_2075_aligned.jpg
anger,all_test\anger\test_test_2099_aligned.jpg
anger,all_test\anger\test_test_2101_aligned.jpg
anger,all_test\anger\test_test_2109_aligned.jpg
anger,all_test\anger\test_test_2170_aligned.jpg
anger,all_test\anger\test_test_2172_aligned.jpg
anger,all_test\anger\test_test_2174_aligned.jpg
anger,all_test\anger\test_test_2228_aligned.jpg
anger,all_test\anger\train_train_00023_aligned.jpg
anger,all_test\anger\train_train_00047_aligned.jpg
anger,all_test\anger\train_train_00049_aligned.jpg
anger,all_test\anger\train_train_00064_aligned.jpg
anger,all_test\anger\train_train_00070_aligned.jpg
anger,all_test\anger\train_train_00095_aligned.jpg
anger,all_test\anger\train_train_00105_aligned.jpg
anger,all_test\anger\train_train_00118_aligned.jpg
anger,all_test\anger\train_train_00131_aligned.jpg
anger,all_test\anger\train_train_00134_aligned.jpg
anger,all_test\anger\train_train_00140_aligned.jpg
anger,all_test\anger\train_train_00143_aligned.jpg
anger,all_test\anger\train_train_00145_aligned.jpg
anger,all_test\anger\train_train_00150_aligned.jpg
anger,all_test\anger\train_train_00157_aligned.jpg
anger,all_test\anger\train_train_00164_aligned.jpg
anger,all_test\anger\train_train_00206_aligned.jpg
anger,all_test\anger\train_train_00208_aligned.jpg
anger,all_test\anger\train_train_00237_aligned.jpg
anger,all_test\anger\train_train_00295_aligned.jpg
anger,all_test\anger\train_train_00321_aligned.jpg
anger,all_test\anger\train_train_00339_aligned.jpg
anger,all_test\anger\train_train_00340_aligned.jpg
anger,all_test\anger\train_train_00361_aligned.jpg
anger,all_test\anger\train_train_00362_aligned.jpg
anger,all_test\anger\train_train_00376_aligned.jpg
anger,all_test\anger\train_train_00384_aligned.jpg
anger,all_test\anger\train_train_00418_aligned.jpg
anger,all_test\anger\train_train_00419_aligned.jpg
anger,all_test\anger\train_train_00421_aligned.jpg
anger,all_test\anger\train_train_00422_aligned.jpg
anger,all_test\anger\train_train_00427_aligned.jpg
anger,all_test\anger\train_train_00428_aligned.jpg
anger,all_test\anger\train_train_00437_aligned.jpg
anger,all_test\anger\train_train_00458_aligned.jpg
anger,all_test\anger\train_train_00461_aligned.jpg
anger,all_test\anger\train_train_00471_aligned.jpg
anger,all_test\anger\train_train_00475_aligned.jpg
anger,all_test\anger\train_train_00492_aligned.jpg
anger,all_test\anger\train_train_00501_aligned.jpg
anger,all_test\anger\train_train_00510_aligned.jpg
anger,all_test\anger\train_train_00564_aligned.jpg
anger,all_test\anger\train_train_00578_aligned.jpg
anger,all_test\anger\train_train_00579_aligned.jpg
anger,all_test\anger\train_train_00591_aligned.jpg
anger,all_test\anger\train_train_00596_aligned.jpg
anger,all_test\anger\train_train_00629_aligned.jpg
anger,all_test\anger\train_train_00641_aligned.jpg
anger,all_test\anger\train_train_00642_aligned.jpg
anger,all_test\anger\train_train_00644_aligned.jpg
anger,all_test\anger\train_train_00645_aligned.jpg
anger,all_test\anger\train_train_00646_aligned.jpg
anger,all_test\anger\train_train_00647_aligned.jpg
anger,all_test\anger\train_train_00662_aligned.jpg
anger,all_test\anger\train_train_00665_aligned.jpg
anger,all_test\anger\train_train_00676_aligned.jpg
anger,all_test\anger\train_train_00677_aligned.jpg
anger,all_test\anger\train_train_00678_aligned.jpg
anger,all_test\anger\train_train_00681_aligned.jpg
anger,all_test\anger\train_train_00693_aligned.jpg
anger,all_test\anger\train_train_00714_aligned.jpg
anger,all_test\anger\train_train_00736_aligned.jpg
anger,all_test\anger\train_train_00746_aligned.jpg
anger,all_test\anger\train_train_00749_aligned.jpg
anger,all_test\anger\train_train_00763_aligned.jpg
anger,all_test\anger\train_train_00766_aligned.jpg
anger,all_test\anger\train_train_00768_aligned.jpg
anger,all_test\anger\train_train_00772_aligned.jpg
anger,all_test\anger\train_train_00776_aligned.jpg
anger,all_test\anger\train_train_00790_aligned.jpg
anger,all_test\anger\train_train_00820_aligned.jpg
anger,all_test\anger\train_train_00827_aligned.jpg
anger,all_test\anger\train_train_00836_aligned.jpg
anger,all_test\anger\train_train_00846_aligned.jpg
anger,all_test\anger\train_train_00860_aligned.jpg
anger,all_test\anger\train_train_00863_aligned.jpg
anger,all_test\anger\train_train_00866_aligned.jpg
anger,all_test\anger\train_train_00885_aligned.jpg
anger,all_test\anger\train_train_00886_aligned.jpg
anger,all_test\anger\train_train_00900_aligned.jpg
anger,all_test\anger\train_train_00909_aligned.jpg
anger,all_test\anger\train_train_00915_aligned.jpg
anger,all_test\anger\train_train_00929_aligned.jpg
anger,all_test\anger\train_train_00952_aligned.jpg
anger,all_test\anger\train_train_00960_aligned.jpg
anger,all_test\anger\train_train_00962_aligned.jpg
anger,all_test\anger\train_train_00963_aligned.jpg
anger,all_test\anger\train_train_01001_aligned.jpg
anger,all_test\anger\train_train_01012_aligned.jpg
anger,all_test\anger\train_train_01030_aligned.jpg
anger,all_test\anger\train_train_01031_aligned.jpg
anger,all_test\anger\train_train_01040_aligned.jpg
anger,all_test\anger\train_train_01042_aligned.jpg
anger,all_test\anger\train_train_01045_aligned.jpg
anger,all_test\anger\train_train_01051_aligned.jpg
anger,all_test\anger\train_train_01052_aligned.jpg
anger,all_test\anger\train_train_01054_aligned.jpg
anger,all_test\anger\train_train_01059_aligned.jpg
anger,all_test\anger\train_train_01064_aligned.jpg
anger,all_test\anger\train_train_01067_aligned.jpg
anger,all_test\anger\train_train_01068_aligned.jpg
anger,all_test\anger\train_train_01089_aligned.jpg
anger,all_test\anger\train_train_01096_aligned.jpg
anger,all_test\anger\train_train_01104_aligned.jpg
anger,all_test\anger\train_train_01108_aligned.jpg
anger,all_test\anger\train_train_01128_aligned.jpg
anger,all_test\anger\train_train_01132_aligned.jpg
anger,all_test\anger\train_train_01139_aligned.jpg
anger,all_test\anger\train_train_01164_aligned.jpg
anger,all_test\anger\train_train_01168_aligned.jpg
anger,all_test\anger\train_train_01170_aligned.jpg
anger,all_test\anger\train_train_01172_aligned.jpg
anger,all_test\anger\train_train_01177_aligned.jpg
anger,all_test\anger\train_train_01182_aligned.jpg
anger,all_test\anger\train_train_01191_aligned.jpg
anger,all_test\anger\train_train_01203_aligned.jpg
anger,all_test\anger\train_train_01211_aligned.jpg
anger,all_test\anger\train_train_01214_aligned.jpg
anger,all_test\anger\train_train_01230_aligned.jpg
anger,all_test\anger\train_train_01235_aligned.jpg
anger,all_test\anger\train_train_01241_aligned.jpg
anger,all_test\anger\train_train_01242_aligned.jpg
anger,all_test\anger\train_train_01243_aligned.jpg
anger,all_test\anger\train_train_01247_aligned.jpg
anger,all_test\anger\train_train_01255_aligned.jpg
anger,all_test\anger\train_train_01267_aligned.jpg
anger,all_test\anger\train_train_01269_aligned.jpg
anger,all_test\anger\train_train_01270_aligned.jpg
anger,all_test\anger\train_train_01272_aligned.jpg
anger,all_test\anger\train_train_01282_aligned.jpg
anger,all_test\anger\train_train_01284_aligned.jpg
anger,all_test\anger\train_train_01286_aligned.jpg
anger,all_test\anger\train_train_01292_aligned.jpg
anger,all_test\anger\train_train_01298_aligned.jpg
anger,all_test\anger\train_train_01300_aligned.jpg
anger,all_test\anger\train_train_01308_aligned.jpg
anger,all_test\anger\train_train_01312_aligned.jpg
anger,all_test\anger\train_train_01314_aligned.jpg
anger,all_test\anger\train_train_01317_aligned.jpg
anger,all_test\anger\train_train_01318_aligned.jpg
anger,all_test\anger\train_train_01325_aligned.jpg
anger,all_test\anger\train_train_01346_aligned.jpg
anger,all_test\anger\train_train_01352_aligned.jpg
anger,all_test\anger\train_train_01361_aligned.jpg
anger,all_test\anger\train_train_01365_aligned.jpg
anger,all_test\anger\train_train_01371_aligned.jpg
anger,all_test\anger\train_train_01384_aligned.jpg
anger,all_test\anger\train_train_01397_aligned.jpg
anger,all_test\anger\train_train_01415_aligned.jpg
anger,all_test\anger\train_train_01454_aligned.jpg
anger,all_test\anger\train_train_01455_aligned.jpg
anger,all_test\anger\train_train_01474_aligned.jpg
anger,all_test\anger\train_train_01477_aligned.jpg
anger,all_test\anger\train_train_01505_aligned.jpg
anger,all_test\anger\train_train_01553_aligned.jpg
anger,all_test\anger\train_train_01580_aligned.jpg
anger,all_test\anger\train_train_01697_aligned.jpg
anger,all_test\anger\train_train_01760_aligned.jpg
anger,all_test\anger\train_train_01833_aligned.jpg
anger,all_test\anger\train_train_01946_aligned.jpg
anger,all_test\anger\train_train_01969_aligned.jpg
anger,all_test\anger\train_train_02043_aligned.jpg
anger,all_test\anger\train_train_02079_aligned.jpg
anger,all_test\anger\train_train_02096_aligned.jpg
anger,all_test\anger\train_train_02134_aligned.jpg
anger,all_test\anger\train_train_02228_aligned.jpg
anger,all_test\anger\train_train_02266_aligned.jpg
anger,all_test\anger\train_train_02272_aligned.jpg
anger,all_test\anger\train_train_02279_aligned.jpg
anger,all_test\anger\train_train_02377_aligned.jpg
anger,all_test\anger\train_train_02397_aligned.jpg
anger,all_test\anger\train_train_02439_aligned.jpg
anger,all_test\anger\train_train_02445_aligned.jpg
anger,all_test\anger\train_train_02458_aligned.jpg
anger,all_test\anger\train_train_02459_aligned.jpg
anger,all_test\anger\train_train_02580_aligned.jpg
anger,all_test\anger\train_train_02592_aligned.jpg
anger,all_test\anger\train_train_02597_aligned.jpg
anger,all_test\anger\train_train_02621_aligned.jpg
anger,all_test\anger\train_train_02623_aligned.jpg
anger,all_test\anger\train_train_02681_aligned.jpg
anger,all_test\anger\train_train_02693_aligned.jpg
anger,all_test\anger\train_train_02724_aligned.jpg
anger,all_test\anger\train_train_02755_aligned.jpg
anger,all_test\anger\train_train_02758_aligned.jpg
anger,all_test\anger\train_train_02764_aligned.jpg
anger,all_test\anger\train_train_02803_aligned.jpg
anger,all_test\anger\train_train_02804_aligned.jpg
anger,all_test\anger\train_train_02849_aligned.jpg
anger,all_test\anger\train_train_02854_aligned.jpg
anger,all_test\anger\train_train_02911_aligned.jpg
anger,all_test\anger\train_train_02951_aligned.jpg
anger,all_test\anger\train_train_03038_aligned.jpg
anger,all_test\anger\train_train_03045_aligned.jpg
anger,all_test\anger\train_train_03152_aligned.jpg
anger,all_test\anger\train_train_03246_aligned.jpg
anger,all_test\anger\train_train_03298_aligned.jpg
anger,all_test\anger\train_train_03301_aligned.jpg
anger,all_test\anger\train_train_03411_aligned.jpg
anger,all_test\anger\train_train_03421_aligned.jpg
anger,all_test\anger\train_train_03439_aligned.jpg
anger,all_test\anger\train_train_03469_aligned.jpg
anger,all_test\anger\train_train_03484_aligned.jpg
anger,all_test\anger\train_train_03496_aligned.jpg
anger,all_test\anger\train_train_03519_aligned.jpg
anger,all_test\anger\train_train_03551_aligned.jpg
anger,all_test\anger\train_train_03607_aligned.jpg
anger,all_test\anger\train_train_03608_aligned.jpg
anger,all_test\anger\train_train_03618_aligned.jpg
anger,all_test\anger\train_train_03619_aligned.jpg
anger,all_test\anger\train_train_03621_aligned.jpg
anger,all_test\anger\train_train_03630_aligned.jpg
anger,all_test\anger\train_train_03633_aligned.jpg
anger,all_test\anger\train_train_03660_aligned.jpg
anger,all_test\anger\train_train_03697_aligned.jpg
anger,all_test\anger\train_train_03705_aligned.jpg
anger,all_test\anger\train_train_03722_aligned.jpg
anger,all_test\anger\train_train_03724_aligned.jpg
anger,all_test\anger\train_train_03737_aligned.jpg
anger,all_test\anger\train_train_03762_aligned.jpg
anger,all_test\anger\train_train_03764_aligned.jpg
anger,all_test\anger\train_train_03771_aligned.jpg
anger,all_test\anger\train_train_03775_aligned.jpg
anger,all_test\anger\train_train_03783_aligned.jpg
anger,all_test\anger\train_train_03787_aligned.jpg
anger,all_test\anger\train_train_03791_aligned.jpg
anger,all_test\anger\train_train_03834_aligned.jpg
anger,all_test\anger\train_train_03850_aligned.jpg
anger,all_test\anger\train_train_03859_aligned.jpg
anger,all_test\anger\train_train_03865_aligned.jpg
anger,all_test\anger\train_train_03874_aligned.jpg
anger,all_test\anger\train_train_03878_aligned.jpg
anger,all_test\anger\train_train_03885_aligned.jpg
anger,all_test\anger\train_train_03900_aligned.jpg
anger,all_test\anger\train_train_03901_aligned.jpg
anger,all_test\anger\train_train_03910_aligned.jpg
anger,all_test\anger\train_train_03941_aligned.jpg
anger,all_test\anger\train_train_03964_aligned.jpg
anger,all_test\anger\train_train_03972_aligned.jpg
anger,all_test\anger\train_train_03985_aligned.jpg
anger,all_test\anger\train_train_04015_aligned.jpg
anger,all_test\anger\train_train_04020_aligned.jpg
anger,all_test\anger\train_train_04021_aligned.jpg
anger,all_test\anger\train_train_04022_aligned.jpg
anger,all_test\anger\train_train_04027_aligned.jpg
anger,all_test\anger\train_train_04031_aligned.jpg
anger,all_test\anger\train_train_04036_aligned.jpg
anger,all_test\anger\train_train_04079_aligned.jpg
anger,all_test\anger\train_train_04081_aligned.jpg
anger,all_test\anger\train_train_04086_aligned.jpg
anger,all_test\anger\train_train_04100_aligned.jpg
anger,all_test\anger\train_train_04110_aligned.jpg
anger,all_test\anger\train_train_04113_aligned.jpg
anger,all_test\anger\train_train_04130_aligned.jpg
anger,all_test\anger\train_train_04132_aligned.jpg
anger,all_test\anger\train_train_04149_aligned.jpg
anger,all_test\anger\train_train_04150_aligned.jpg
anger,all_test\anger\train_train_04159_aligned.jpg
anger,all_test\anger\train_train_04191_aligned.jpg
anger,all_test\anger\train_train_04192_aligned.jpg
anger,all_test\anger\train_train_04216_aligned.jpg
anger,all_test\anger\train_train_04226_aligned.jpg
anger,all_test\anger\train_train_04232_aligned.jpg
anger,all_test\anger\train_train_04233_aligned.jpg
anger,all_test\anger\train_train_04234_aligned.jpg
anger,all_test\anger\train_train_04271_aligned.jpg
anger,all_test\anger\train_train_04286_aligned.jpg
anger,all_test\anger\train_train_04290_aligned.jpg
anger,all_test\anger\train_train_04306_aligned.jpg
anger,all_test\anger\train_train_04308_aligned.jpg
anger,all_test\anger\train_train_04310_aligned.jpg
anger,all_test\anger\train_train_04317_aligned.jpg
anger,all_test\anger\train_train_04334_aligned.jpg
anger,all_test\anger\train_train_04341_aligned.jpg
anger,all_test\anger\train_train_04348_aligned.jpg
anger,all_test\anger\train_train_04354_aligned.jpg
anger,all_test\anger\train_train_04386_aligned.jpg
anger,all_test\anger\train_train_04389_aligned.jpg
anger,all_test\anger\train_train_04390_aligned.jpg
anger,all_test\anger\train_train_04402_aligned.jpg
anger,all_test\anger\train_train_04431_aligned.jpg
anger,all_test\anger\train_train_04432_aligned.jpg
anger,all_test\anger\train_train_04433_aligned.jpg
anger,all_test\anger\train_train_04440_aligned.jpg
anger,all_test\anger\train_train_04441_aligned.jpg
anger,all_test\anger\train_train_04442_aligned.jpg
anger,all_test\anger\train_train_04445_aligned.jpg
anger,all_test\anger\train_train_04451_aligned.jpg
anger,all_test\anger\train_train_04460_aligned.jpg
anger,all_test\anger\train_train_04490_aligned.jpg
anger,all_test\anger\train_train_04496_aligned.jpg
anger,all_test\anger\train_train_04497_aligned.jpg
anger,all_test\anger\train_train_04501_aligned.jpg
anger,all_test\anger\train_train_04502_aligned.jpg
anger,all_test\anger\train_train_04504_aligned.jpg
anger,all_test\anger\train_train_04529_aligned.jpg
anger,all_test\anger\train_train_04540_aligned.jpg
anger,all_test\anger\train_train_04544_aligned.jpg
anger,all_test\anger\train_train_04545_aligned.jpg
anger,all_test\anger\train_train_04546_aligned.jpg
anger,all_test\anger\train_train_04558_aligned.jpg
anger,all_test\anger\train_train_04577_aligned.jpg
anger,all_test\anger\train_train_04579_aligned.jpg
anger,all_test\anger\train_train_04590_aligned.jpg
anger,all_test\anger\train_train_04598_aligned.jpg
anger,all_test\anger\train_train_04608_aligned.jpg
anger,all_test\anger\train_train_04617_aligned.jpg
anger,all_test\anger\train_train_04629_aligned.jpg
anger,all_test\anger\train_train_04640_aligned.jpg
anger,all_test\anger\train_train_04653_aligned.jpg
anger,all_test\anger\train_train_04654_aligned.jpg
anger,all_test\anger\train_train_04655_aligned.jpg
anger,all_test\anger\train_train_04656_aligned.jpg
anger,all_test\anger\train_train_04658_aligned.jpg
anger,all_test\anger\train_train_04693_aligned.jpg
anger,all_test\anger\train_train_04718_aligned.jpg
anger,all_test\anger\train_train_04721_aligned.jpg
anger,all_test\anger\train_train_04753_aligned.jpg
anger,all_test\anger\train_train_04780_aligned.jpg
anger,all_test\anger\train_train_04781_aligned.jpg
anger,all_test\anger\train_train_04790_aligned.jpg
anger,all_test\anger\train_train_04791_aligned.jpg
anger,all_test\anger\train_train_04810_aligned.jpg
anger,all_test\anger\train_train_04844_aligned.jpg
anger,all_test\anger\train_train_04854_aligned.jpg
anger,all_test\anger\train_train_04859_aligned.jpg
anger,all_test\anger\train_train_04910_aligned.jpg
anger,all_test\anger\train_train_04911_aligned.jpg
anger,all_test\anger\train_train_04916_aligned.jpg
anger,all_test\anger\train_train_04921_aligned.jpg
anger,all_test\anger\train_train_04923_aligned.jpg
anger,all_test\anger\train_train_04926_aligned.jpg
anger,all_test\anger\train_train_04932_aligned.jpg
anger,all_test\anger\train_train_04973_aligned.jpg
anger,all_test\anger\train_train_04974_aligned.jpg
anger,all_test\anger\train_train_04991_aligned.jpg
anger,all_test\anger\train_train_04993_aligned.jpg
anger,all_test\anger\train_train_05000_aligned.jpg
anger,all_test\anger\train_train_05006_aligned.jpg
anger,all_test\anger\train_train_05016_aligned.jpg
anger,all_test\anger\train_train_05018_aligned.jpg
anger,all_test\anger\train_train_05048_aligned.jpg
anger,all_test\anger\train_train_05098_aligned.jpg
anger,all_test\anger\train_train_05099_aligned.jpg
anger,all_test\anger\train_train_05151_aligned.jpg
anger,all_test\anger\train_train_05159_aligned.jpg
anger,all_test\anger\train_train_05162_aligned.jpg
anger,all_test\anger\train_train_05175_aligned.jpg
anger,all_test\anger\train_train_05176_aligned.jpg
anger,all_test\anger\train_train_05206_aligned.jpg
anger,all_test\anger\train_train_05238_aligned.jpg
anger,all_test\anger\train_train_05246_aligned.jpg
anger,all_test\anger\train_train_05247_aligned.jpg
anger,all_test\anger\train_train_05248_aligned.jpg
anger,all_test\anger\train_train_05260_aligned.jpg
anger,all_test\anger\train_train_05262_aligned.jpg
anger,all_test\anger\train_train_05298_aligned.jpg
anger,all_test\anger\train_train_05304_aligned.jpg
anger,all_test\anger\train_train_05306_aligned.jpg
anger,all_test\anger\train_train_05307_aligned.jpg
anger,all_test\anger\train_train_05314_aligned.jpg
anger,all_test\anger\train_train_05318_aligned.jpg
anger,all_test\anger\train_train_05336_aligned.jpg
anger,all_test\anger\train_train_05359_aligned.jpg
anger,all_test\anger\train_train_05362_aligned.jpg
anger,all_test\anger\train_train_05384_aligned.jpg
anger,all_test\anger\train_train_05388_aligned.jpg
anger,all_test\anger\train_train_05407_aligned.jpg
anger,all_test\anger\train_train_05418_aligned.jpg
anger,all_test\anger\train_train_05433_aligned.jpg
anger,all_test\anger\train_train_05455_aligned.jpg
anger,all_test\anger\train_train_05467_aligned.jpg
anger,all_test\anger\train_train_05493_aligned.jpg
anger,all_test\anger\train_train_05509_aligned.jpg
anger,all_test\anger\train_train_05528_aligned.jpg
anger,all_test\anger\train_train_05532_aligned.jpg
anger,all_test\anger\train_train_05572_aligned.jpg
anger,all_test\anger\train_train_05581_aligned.jpg
anger,all_test\anger\train_train_05602_aligned.jpg
anger,all_test\anger\train_train_05626_aligned.jpg
anger,all_test\anger\train_train_05658_aligned.jpg
anger,all_test\anger\train_train_05664_aligned.jpg
anger,all_test\anger\train_train_05698_aligned.jpg
anger,all_test\anger\train_train_05732_aligned.jpg
anger,all_test\anger\train_train_05744_aligned.jpg
anger,all_test\anger\train_train_05758_aligned.jpg
anger,all_test\anger\train_train_05777_aligned.jpg
anger,all_test\anger\train_train_05783_aligned.jpg
anger,all_test\anger\train_train_05793_aligned.jpg
anger,all_test\anger\train_train_05798_aligned.jpg
anger,all_test\anger\train_train_05808_aligned.jpg
anger,all_test\anger\train_train_05814_aligned.jpg
anger,all_test\anger\train_train_05834_aligned.jpg
anger,all_test\anger\train_train_05860_aligned.jpg
anger,all_test\anger\train_train_05863_aligned.jpg
anger,all_test\anger\train_train_05887_aligned.jpg
anger,all_test\anger\train_train_05918_aligned.jpg
